Huidig_Label	Doel_Label	Oppervlak	Woningtype	Huurpunten
G	A++++	K	EGW	77
G	A+++	K	EGW	77
G	A++	K	EGW	75
G	A+	K	EGW	70
G	A	K	EGW	64
G	B	K	EGW	57
G	C	K	EGW	51
G	D	K	EGW	47
G	E	K	EGW	11
G	F	K	EGW	6
F	A++++	K	EGW	71
F	A+++	K	EGW	71
F	A++	K	EGW	69
F	A+	K	EGW	64
F	A	K	EGW	58
F	B	K	EGW	51
F	C	K	EGW	45
F	D	K	EGW	41
F	E	K	EGW	5
E	A++++	K	EGW	66
E	A+++	K	EGW	66
E	A++	K	EGW	64
E	A+	K	EGW	59
E	A	K	EGW	53
E	B	K	EGW	46
E	C	K	EGW	40
E	D	K	EGW	36
D	A++++	K	EGW	30
D	A+++	K	EGW	30
D	A++	K	EGW	28
D	A+	K	EGW	23
D	A	K	EGW	17
D	B	K	EGW	10
D	C	K	EGW	4
C	A++++	K	EGW	26
C	A+++	K	EGW	26
C	A++	K	EGW	24
C	A+	K	EGW	19
C	A	K	EGW	13
C	B	K	EGW	6
B	A++++	K	EGW	20
B	A+++	K	EGW	20
B	A++	K	EGW	18
B	A+	K	EGW	13
B	A	K	EGW	7
A	A++++	K	EGW	13
A	A+++	K	EGW	13
A	A++	K	EGW	11
A	A+	K	EGW	6
A+	A++++	K	EGW	7
A+	A+++	K	EGW	7
A+	A++	K	EGW	5
A++	A++++	K	EGW	2
A++	A+++	K	EGW	2
A+++	A++++	K	EGW	0
G	A++++	M	EGW	77
G	A+++	M	EGW	72
G	A++	M	EGW	67
G	A+	M	EGW	62
G	A	M	EGW	56
G	B	M	EGW	49
G	C	M	EGW	37
G	D	M	EGW	29
G	E	M	EGW	11
G	F	M	EGW	6
F	A++++	M	EGW	71
F	A+++	M	EGW	66
F	A++	M	EGW	61
F	A+	M	EGW	56
F	A	M	EGW	50
F	B	M	EGW	43
F	C	M	EGW	31
F	D	M	EGW	23
F	E	M	EGW	5
E	A++++	M	EGW	66
E	A+++	M	EGW	61
E	A++	M	EGW	56
E	A+	M	EGW	51
E	A	M	EGW	45
E	B	M	EGW	38
E	C	M	EGW	26
E	D	M	EGW	18
D	A++++	M	EGW	48
D	A+++	M	EGW	43
D	A++	M	EGW	38
D	A+	M	EGW	33
D	A	M	EGW	27
D	B	M	EGW	20
D	C	M	EGW	8
C	A++++	M	EGW	40
C	A+++	M	EGW	35
C	A++	M	EGW	30
C	A+	M	EGW	25
C	A	M	EGW	19
C	B	M	EGW	12
B	A++++	M	EGW	28
B	A+++	M	EGW	23
B	A++	M	EGW	18
B	A+	M	EGW	13
B	A	M	EGW	7
A	A++++	M	EGW	21
A	A+++	M	EGW	16
A	A++	M	EGW	11
A	A+	M	EGW	6
A+	A++++	M	EGW	15
A+	A+++	M	EGW	10
A+	A++	M	EGW	5
A++	A++++	M	EGW	10
A++	A+++	M	EGW	5
A+++	A++++	M	EGW	5
G	A++++	G	EGW	77
G	A+++	G	EGW	72
G	A++	G	EGW	67
G	A+	G	EGW	62
G	A	G	EGW	56
G	B	G	EGW	49
G	C	G	EGW	37
G	D	G	EGW	29
G	E	G	EGW	11
G	F	G	EGW	6
F	A++++	G	EGW	71
F	A+++	G	EGW	66
F	A++	G	EGW	61
F	A+	G	EGW	56
F	A	G	EGW	50
F	B	G	EGW	43
F	C	G	EGW	31
F	D	G	EGW	23
F	E	G	EGW	5
E	A++++	G	EGW	66
E	A+++	G	EGW	61
E	A++	G	EGW	56
E	A+	G	EGW	51
E	A	G	EGW	45
E	B	G	EGW	38
E	C	G	EGW	26
E	D	G	EGW	18
D	A++++	G	EGW	48
D	A+++	G	EGW	43
D	A++	G	EGW	38
D	A+	G	EGW	33
D	A	G	EGW	27
D	B	G	EGW	20
D	C	G	EGW	8
C	A++++	G	EGW	40
C	A+++	G	EGW	35
C	A++	G	EGW	30
C	A+	G	EGW	25
C	A	G	EGW	19
C	B	G	EGW	12
B	A++++	G	EGW	28
B	A+++	G	EGW	23
B	A++	G	EGW	18
B	A+	G	EGW	13
B	A	G	EGW	7
A	A++++	G	EGW	21
A	A+++	G	EGW	16
A	A++	G	EGW	11
A	A+	G	EGW	6
A+	A++++	G	EGW	15
A+	A+++	G	EGW	10
A+	A++	G	EGW	5
A++	A++++	G	EGW	10
A++	A+++	G	EGW	5
A+++	A++++	G	EGW	5
G	A++++	K	MGW	77
G	A+++	K	MGW	77
G	A++	K	MGW	71
G	A+	K	MGW	66
G	A	K	MGW	60
G	B	K	MGW	53
G	C	K	MGW	47
G	D	K	MGW	43
G	E	K	MGW	11
G	F	K	MGW	6
F	A++++	K	MGW	71
F	A+++	K	MGW	71
F	A++	K	MGW	65
F	A+	K	MGW	60
F	A	K	MGW	54
F	B	K	MGW	47
F	C	K	MGW	41
F	D	K	MGW	37
F	E	K	MGW	5
E	A++++	K	MGW	66
E	A+++	K	MGW	66
E	A++	K	MGW	60
E	A+	K	MGW	55
E	A	K	MGW	49
E	B	K	MGW	42
E	C	K	MGW	36
E	D	K	MGW	32
D	A++++	K	MGW	34
D	A+++	K	MGW	34
D	A++	K	MGW	28
D	A+	K	MGW	23
D	A	K	MGW	17
D	B	K	MGW	10
D	C	K	MGW	4
C	A++++	K	MGW	30
C	A+++	K	MGW	30
C	A++	K	MGW	24
C	A+	K	MGW	19
C	A	K	MGW	13
C	B	K	MGW	6
B	A++++	K	MGW	24
B	A+++	K	MGW	24
B	A++	K	MGW	18
B	A+	K	MGW	13
B	A	K	MGW	7
A	A++++	K	MGW	17
A	A+++	K	MGW	17
A	A++	K	MGW	11
A	A+	K	MGW	6
A+	A++++	K	MGW	11
A+	A+++	K	MGW	11
A+	A++	K	MGW	5
A++	A++++	K	MGW	6
A++	A+++	K	MGW	6
A+++	A++++	K	MGW	0
G	A++++	M	MGW	77
G	A+++	M	MGW	68
G	A++	M	MGW	63
G	A+	M	MGW	58
G	A	M	MGW	52
G	B	M	MGW	45
G	C	M	MGW	30
G	D	M	MGW	26
G	E	M	MGW	11
G	F	M	MGW	6
F	A++++	M	MGW	71
F	A+++	M	MGW	62
F	A++	M	MGW	57
F	A+	M	MGW	52
F	A	M	MGW	46
F	B	M	MGW	39
F	C	M	MGW	24
F	D	M	MGW	20
F	E	M	MGW	5
E	A++++	M	MGW	66
E	A+++	M	MGW	57
E	A++	M	MGW	52
E	A+	M	MGW	47
E	A	M	MGW	41
E	B	M	MGW	34
E	C	M	MGW	19
E	D	M	MGW	15
D	A++++	M	MGW	51
D	A+++	M	MGW	42
D	A++	M	MGW	37
D	A+	M	MGW	32
D	A	M	MGW	26
D	B	M	MGW	19
D	C	M	MGW	4
C	A++++	M	MGW	47
C	A+++	M	MGW	38
C	A++	M	MGW	33
C	A+	M	MGW	28
C	A	M	MGW	22
C	B	M	MGW	15
B	A++++	M	MGW	32
B	A+++	M	MGW	23
B	A++	M	MGW	18
B	A+	M	MGW	13
B	A	M	MGW	7
A	A++++	M	MGW	25
A	A+++	M	MGW	16
A	A++	M	MGW	11
A	A+	M	MGW	6
A+	A++++	M	MGW	19
A+	A+++	M	MGW	10
A+	A++	M	MGW	5
A++	A++++	M	MGW	14
A++	A+++	M	MGW	5
A+++	A++++	M	MGW	9
G	A++++	G	MGW	73
G	A+++	G	MGW	68
G	A++	G	MGW	63
G	A+	G	MGW	58
G	A	G	MGW	52
G	B	G	MGW	45
G	C	G	MGW	30
G	D	G	MGW	26
G	E	G	MGW	11
G	F	G	MGW	6
F	A++++	G	MGW	67
F	A+++	G	MGW	62
F	A++	G	MGW	57
F	A+	G	MGW	52
F	A	G	MGW	46
F	B	G	MGW	39
F	C	G	MGW	24
F	D	G	MGW	20
F	E	G	MGW	5
E	A++++	G	MGW	62
E	A+++	G	MGW	57
E	A++	G	MGW	52
E	A+	G	MGW	47
E	A	G	MGW	41
E	B	G	MGW	34
E	C	G	MGW	19
E	D	G	MGW	15
D	A++++	G	MGW	47
D	A+++	G	MGW	42
D	A++	G	MGW	37
D	A+	G	MGW	32
D	A	G	MGW	26
D	B	G	MGW	19
D	C	G	MGW	4
C	A++++	G	MGW	43
C	A+++	G	MGW	38
C	A++	G	MGW	33
C	A+	G	MGW	28
C	A	G	MGW	22
C	B	G	MGW	15
B	A++++	G	MGW	28
B	A+++	G	MGW	23
B	A++	G	MGW	18
B	A+	G	MGW	13
B	A	G	MGW	7
A	A++++	G	MGW	21
A	A+++	G	MGW	16
A	A++	G	MGW	11
A	A+	G	MGW	6
A+	A++++	G	MGW	15
A+	A+++	G	MGW	10
A+	A++	G	MGW	5
A++	A++++	G	MGW	10
A++	A+++	G	MGW	5
A+++	A++++	G	MGW	5
